Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,27-051,NOP,,CHI,W (+12),1,31:28,.666,.630,6.8,17.3,12.0,12.1,2.8,2.9,10.8,35.8,117,103,24.5,5.3
2,2,2024-10-25,27-053,NOP,@,POR,W (+2),1,35:19,.503,.500,5.5,19.0,11.8,21.6,2.6,2.6,8.7,27.4,101,99,15.3,1.8
3,3,2024-10-27,27-055,NOP,@,POR,L (-22),1,31:37,.412,.412,3.5,23.1,13.5,33.3,0.0,0.0,10.5,25.0,96,128,9.1,-7.9
4,4,2024-10-29,27-057,NOP,@,GSW,L (-18),1,31:27,.819,.794,4.8,10.0,7.8,14.1,0.0,0.0,14.1,30.0,138,133,22.1,5.7
5,5,2024-10-30,27-058,NOP,@,GSW,L (-15),1,32:22,.589,.545,3.2,13.5,8.1,34.8,0.0,0.0,14.4,18.1,123,120,11.6,0.4
6,6,2024-11-01,27-060,NOP,,IND,W (+7),1,35:18,.494,.460,5.7,14.7,9.6,26.9,1.4,5.3,7.1,32.8,114,116,19.2,2.5
7,7,2024-11-03,27-062,NOP,,ATL,L (-15),1,29:30,.755,.737,3.3,27.9,13.6,16.7,1.7,3.1,22.1,37.9,115,126,21.1,6.8
8,8,2024-11-04,27-063,NOP,,POR,L (-18),1,33:27,.515,.479,0.0,20.5,10.0,45.2,1.5,0.0,13.2,40.5,103,125,16.4,-1.7
9,9,2024-11-06,27-065,NOP,,CLE,L (-9),1,38:41,.500,.500,0.0,16.8,7.9,20.1,1.2,2.0,9.1,24.7,101,133,13.5,-4.3
10,10,2024-11-08,27-067,NOP,@,ORL,L (-27),1,26:18,.427,.375,4.8,20.3,12.3,36.9,0.0,0.0,31.8,32.1,71,122,2.4,-12.3
11,11,2024-11-11,27-070,NOP,,BRK,L (-2),1,35:22,.482,.458,3.0,12.1,7.5,43.0,1.5,0.0,13.9,35.5,101,121,15.6,-2.4
12,12,2024-11-13,27-072,NOP,@,OKC,L (-18),1,35:15,.500,.500,5.8,13.0,9.2,33.4,1.5,0.0,30.8,30.1,85,114,7.2,-2.7
13,13,2024-11-15,27-074,NOP,,DEN,W (+7),1,36:48,.539,.519,0.0,26.7,12.5,42.8,0.0,2.6,6.9,34.3,119,102,21.5,7.6
14,14,2024-11-16,27-075,NOP,,LAL,L (-5),1,37:38,.593,.543,2.9,7.8,5.5,48.7,4.3,2.6,20.6,39.3,110,113,22.2,8.2
15,15,2024-11-19,27-078,NOP,@,DAL,L (-41),1,33:08,.507,.467,0.0,16.5,8.5,26.0,0.0,0.0,23.0,29.1,84,136,6.6,-10.1
16,,2024-11-20,27-079,NOP,@,CLE,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,16,2024-11-22,27-081,NOP,,GSW,L (-4),1,35:48,.507,.500,2.6,6.1,4.2,29.7,0.0,5.4,18.4,26.1,97,121,11.6,-3.2
