Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,29-008,TOR,,CLE,L (-30),1,26:09,.387,.333,13.1,34.4,22.3,11.4,0.0,0.0,39.2,19.9,66,139,0.5,-17.2
2,2,2024-10-25,29-010,TOR,,PHI,W (+8),1,27:24,.740,.625,4.9,30.5,19.2,20.0,0.0,14.9,13.5,21.1,146,101,19.0,9.2
3,3,2024-10-26,29-011,TOR,@,MIN,L (-11),1,29:58,.444,.444,10.9,26.1,18.4,13.9,1.6,3.5,18.2,15.2,94,111,7.7,-3.3
4,4,2024-10-28,29-013,TOR,,DEN,L (-2),1,40:11,.576,.538,19.2,28.4,23.6,6.6,0.0,1.7,17.8,16.7,116,114,16.9,-1.4
5,5,2024-10-30,29-015,TOR,@,CHO,L (-5),1,35:07,.714,.714,18.5,35.8,27.7,7.1,2.7,0.0,6.7,17.3,147,126,21.8,0.4
6,6,2024-11-01,29-017,TOR,,LAL,L (-6),1,35:06,.658,.643,16.7,21.6,18.9,20.7,0.0,7.3,12.2,18.2,137,124,21.9,5.8
7,7,2024-11-02,29-018,TOR,,SAC,W (+3),1,33:49,.666,.625,10.2,19.2,14.8,8.2,2.8,2.6,29.1,16.9,106,110,10.6,-4.5
8,8,2024-11-04,29-020,TOR,@,DEN,L (-2),1,32:27,.607,.611,20.2,18.0,19.1,14.4,4.3,0.0,9.2,25.8,123,113,21.4,3.0
9,9,2024-11-06,29-022,TOR,@,SAC,L (-15),1,34:37,.625,.625,3.5,23.7,13.7,15.4,2.9,0.0,27.3,14.3,102,122,10.2,-1.4
10,10,2024-11-09,29-025,TOR,@,LAC,L (-2),1,30:08,.289,.167,6.1,40.8,21.0,12.4,0.0,9.6,31.6,17.6,61,102,3.8,-8.3
11,11,2024-11-10,29-026,TOR,@,LAL,L (-20),1,31:08,.583,.583,17.6,24.3,21.1,23.5,1.7,0.0,7.7,18.3,131,131,14.2,3.0
12,12,2024-11-12,29-028,TOR,@,MIL,L (-14),1,28:13,.468,.462,13.1,13.9,13.5,8.6,5.2,9.0,17.8,24.6,87,91,10.4,-0.4
13,13,2024-11-15,29-031,TOR,,DET,L (-4),1,35:01,.574,.600,23.2,21.9,22.6,22.2,1.4,7.2,4.4,25.6,125,93,26.6,12.1
14,14,2024-11-16,29-032,TOR,@,BOS,L (-3),1,37:14,.843,.842,19.9,19.0,19.4,0.0,1.5,0.0,8.8,27.9,154,127,31.9,10.6
15,15,2024-11-18,29-034,TOR,,IND,W (+11),1,37:37,.727,.722,17.0,29.2,24.5,8.1,2.5,4.3,22.5,29.0,119,107,25.5,2.1
16,16,2024-11-21,29-037,TOR,,MIN,W (+5),1,28:47,.651,.625,12.5,34.9,24.1,11.6,0.0,0.0,0.0,18.1,148,108,14.8,3.6
17,17,2024-11-24,29-040,TOR,@,CLE,L (-14),1,33:01,.450,.417,21.5,32.0,26.6,9.8,1.4,5.2,7.0,16.9,116,113,16.1,0.7
18,18,2024-11-25,29-041,TOR,@,DET,L (-2),1,27:42,.364,.364,12.6,36.8,21.7,10.2,0.0,8.9,15.4,19.0,87,107,6.0,-7.4
19,19,2024-11-27,29-043,TOR,@,NOP,W (+26),1,30:38,.205,.250,3.2,21.9,12.7,3.4,3.0,2.7,0.0,6.6,70,85,3.4,-8.9
20,20,2024-11-29,29-045,TOR,@,MIA,L (-10),1,32:24,.909,.909,17.4,19.8,18.8,5.3,0.0,3.7,13.2,21.1,157,124,21.5,2.9
21,21,2024-12-01,29-047,TOR,,MIA,W (+3),1,36:41,.548,.500,12.2,18.7,15.6,10.0,2.6,2.7,6.1,19.2,123,109,16.9,0.3
22,22,2024-12-03,29-049,TOR,,IND,W (+11),1,35:51,.751,.700,4.3,26.8,17.6,15.5,1.3,5.0,20.9,16.7,127,101,16.4,3.6
23,,2024-12-05,29-051,TOR,,OKC,L (-37),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,23,2024-12-07,29-053,TOR,,DAL,L (-7),1,33:32,.733,.636,6.2,15.9,11.0,30.4,2.8,0.0,18.0,20.9,135,122,19.9,4.4
25,24,2024-12-09,29-055,TOR,,NYK,L (-5),1,33:25,.563,.500,16.9,21.5,18.9,15.4,1.5,6.8,10.1,12.5,139,115,15.4,3.9
26,25,2024-12-12,29-058,TOR,@,MIA,L (-10),0,27:06,.601,.583,7.1,8.1,7.5,12.4,1.8,3.5,7.0,22.9,117,114,13.3,1.0
27,26,2024-12-16,29-062,TOR,,CHI,L (-1),1,21:45,.429,.429,5.1,21.0,13.0,17.3,2.0,0.0,12.5,14.3,97,113,6.3,-2.3
28,,2024-12-19,29-065,TOR,,BRK,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
29,,2024-12-22,29-068,TOR,,HOU,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2024-12-23,29-069,TOR,@,NYK,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2024-12-26,29-072,TOR,@,MEM,L (-29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,27,2024-12-29,29-075,TOR,,ATL,L (-29),1,26:43,.666,.625,13.1,10.6,11.7,6.2,3.3,10.8,29.1,19.3,100,117,11.2,-1.0
33,28,2024-12-31,29-077,TOR,@,BOS,L (-54),1,29:42,.717,.750,12.4,35.5,22.6,21.9,3.4,3.7,17.0,8.5,136,121,13.1,3.1
34,29,2025-01-01,29-078,TOR,,BRK,W (+17),1,33:36,.600,.600,15.9,20.4,18.1,6.6,1.4,5.7,0.0,13.6,145,111,14.3,-2.4
35,30,2025-01-03,29-080,TOR,,ORL,L (-9),1,33:30,.938,.917,7.7,13.6,10.9,12.9,1.6,4.1,18.4,24.2,146,119,22.1,7.5
36,31,2025-01-06,29-083,TOR,,MIL,L (-24),1,31:24,.636,.667,0.0,33.4,13.2,4.8,1.5,4.0,9.6,13.8,109,124,10.8,-2.9
37,32,2025-01-08,29-085,TOR,@,NYK,L (-14),1,30:10,.667,.667,8.8,31.8,20.9,15.1,1.7,0.0,40.0,15.8,92,116,7.1,-5.7
38,33,2025-01-09,29-086,TOR,@,CLE,L (-6),1,33:48,.723,.800,12.2,12.9,12.6,20.5,4.5,3.2,0.0,15.5,164,131,22.4,10.5
39,34,2025-01-11,29-088,TOR,@,DET,L (-9),1,33:43,.340,.400,13.2,26.9,18.8,12.4,4.3,2.8,7.8,15.7,94,115,10.2,-4.6
