Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,22-121,TOR,,CLE,L (-30),0,18:43,.601,.500,0.0,8.0,3.5,36.2,2.6,4.5,19.4,22.5,117,133,8.3,1.9
2,2,2024-10-25,22-123,TOR,,PHI,W (+8),0,25:29,.463,.409,0.0,8.2,4.6,34.3,0.0,0.0,37.1,28.9,76,116,1.2,-16.5
3,3,2024-10-26,22-124,TOR,@,MIN,L (-11),0,18:53,.625,.625,0.0,0.0,0.0,35.4,0.0,0.0,20.0,11.0,127,123,4.7,-1.9
4,4,2024-10-28,22-126,TOR,,DEN,L (-2),0,18:06,.500,.500,0.0,5.7,2.8,39.3,2.7,0.0,11.1,19.8,113,116,6.6,-0.3
5,5,2024-10-30,22-128,TOR,@,CHO,L (-5),0,19:34,.478,.417,6.6,5.8,6.2,46.9,2.4,0.0,12.0,17.3,135,136,10.1,1.8
6,6,2024-11-01,22-130,TOR,,LAL,L (-6),0,14:48,.286,.286,0.0,8.5,3.7,7.1,0.0,0.0,12.5,21.0,62,132,-0.9,-20.7
7,7,2024-11-02,22-131,TOR,,SAC,W (+3),0,14:04,.000,.000,0.0,0.0,0.0,49.1,0.0,0.0,25.0,11.8,82,124,0.3,-11.8
8,8,2024-11-04,22-133,TOR,@,DEN,L (-2),0,17:27,.901,.875,0.0,13.4,6.5,21.3,2.7,0.0,0.0,9.8,191,118,8.5,3.2
9,9,2024-11-06,22-135,TOR,@,SAC,L (-15),0,15:47,.460,.400,0.0,7.4,3.8,16.5,0.0,5.5,15.5,18.4,92,132,2.9,-8.1
10,10,2024-11-09,22-138,TOR,@,LAC,L (-2),0,5:23,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0,117,-1.1,-20.8
11,11,2024-11-10,22-139,TOR,@,LAL,L (-20),0,9:09,.250,.250,0.0,0.0,0.0,16.5,0.0,0.0,42.9,33.5,38,140,-3.1,-33.1
12,12,2024-11-12,22-141,TOR,@,MIL,L (-14),0,12:14,.000,.000,0.0,8.0,3.9,26.2,4.0,0.0,50.0,13.4,24,101,-0.7,-13.0
