Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,24-186,TOR,,CLE,L (-30),1,25:15,.798,1.000,18.1,11.9,15.4,5.6,1.9,3.3,0.0,3.0,189,135,7.3,-0.1
2,2,2024-10-25,24-188,TOR,,PHI,W (+8),1,26:13,.607,.556,15.3,19.9,17.9,7.1,3.6,0.0,9.2,16.2,135,104,11.8,1.8
3,3,2024-10-26,24-189,TOR,@,MIN,L (-11),1,30:35,.764,.792,0.0,7.3,3.6,11.0,3.2,0.0,24.3,22.3,102,114,12.6,4.3
4,4,2024-10-28,24-191,TOR,,DEN,L (-2),0,28:38,.582,.583,10.1,14.5,12.2,0.0,1.7,2.4,0.0,17.9,130,114,12.0,2.9
5,5,2024-10-30,24-193,TOR,@,CHO,L (-5),0,28:49,.683,.583,0.0,11.9,6.3,10.6,0.0,6.8,21.5,13.1,121,136,9.0,-3.1
6,6,2024-11-01,24-195,TOR,,LAL,L (-6),1,33:44,.444,.444,0.0,7.5,3.3,9.2,1.4,0.0,0.0,10.4,109,129,5.4,-7.2
7,7,2024-11-02,24-196,TOR,,SAC,W (+3),1,35:36,.917,.917,0.0,15.2,7.8,9.1,2.6,2.5,7.7,15.2,159,112,20.6,9.9
8,8,2024-11-04,24-198,TOR,@,DEN,L (-2),1,32:54,.649,.636,3.3,14.2,8.6,15.3,2.8,0.0,0.0,14.4,146,118,15.8,4.1
9,9,2024-11-06,24-200,TOR,@,SAC,L (-15),1,32:21,.581,.556,0.0,7.2,3.7,8.0,1.6,0.0,0.0,14.4,124,131,8.7,-2.2
10,10,2024-11-09,24-203,TOR,@,LAC,L (-2),1,36:11,.750,.750,5.1,17.0,10.2,14.2,2.7,0.0,0.0,16.3,153,107,20.6,10.5
11,11,2024-11-10,24-204,TOR,@,LAL,L (-20),1,33:22,1.015,1.000,4.1,18.9,11.8,4.8,0.0,2.9,20.2,13.0,148,134,13.5,5.7
12,12,2024-11-12,24-206,TOR,@,MIL,L (-14),1,34:46,.500,.500,2.7,16.9,9.6,5.3,2.8,3.6,27.3,13.0,77,98,5.3,-3.6
13,13,2024-11-15,24-209,TOR,,DET,L (-4),1,35:33,.300,.300,2.3,5.4,3.7,4.6,2.7,0.0,6.3,17.8,68,100,1.9,-8.0
14,14,2024-11-16,24-210,TOR,@,BOS,L (-3),1,39:19,.500,.500,0.0,18.0,9.2,9.3,0.0,3.5,7.1,16.2,108,129,9.1,-3.1
15,15,2024-11-18,24-212,TOR,,IND,W (+11),1,32:51,.698,.714,4.9,9.1,7.5,20.8,1.4,7.4,20.2,12.3,137,113,12.2,6.5
16,16,2024-11-21,24-215,TOR,,MIN,W (+5),1,26:38,.400,.400,0.0,0.0,0.0,5.4,1.9,0.0,16.7,10.2,75,114,1.2,-6.6
17,17,2024-11-24,24-218,TOR,@,CLE,L (-14),1,27:12,.750,.750,3.3,14.1,8.5,5.9,0.0,0.0,14.3,10.0,132,125,7.6,-1.7
18,18,2024-11-25,24-219,TOR,@,DET,L (-2),1,23:35,.000,.000,0.0,6.2,2.3,5.0,2.2,0.0,20.0,8.6,14,113,-3.0,-16.4
19,19,2024-11-27,24-221,TOR,@,NOP,W (+26),1,27:50,1.200,1.200,0.0,20.7,10.5,11.0,1.7,3.0,0.0,14.8,224,89,24.7,20.5
20,20,2024-11-29,24-223,TOR,@,MIA,L (-10),1,32:24,.813,.813,4.4,13.2,9.4,12.5,0.0,0.0,0.0,11.1,168,128,13.0,3.4
21,21,2024-12-01,24-225,TOR,,MIA,W (+3),1,37:50,.438,.438,5.9,7.8,6.9,8.8,0.0,2.6,0.0,9.0,117,119,7.3,-2.8
22,22,2024-12-03,24-227,TOR,,IND,W (+11),1,35:54,.929,.929,4.3,5.9,5.3,7.2,2.5,2.5,12.5,9.3,157,104,12.9,6.1
23,23,2024-12-05,24-229,TOR,,OKC,L (-37),1,21:35,.417,.417,0.0,0.0,0.0,16.1,0.0,0.0,0.0,11.2,97,135,2.6,-6.0
24,24,2024-12-07,24-231,TOR,,DAL,L (-7),1,20:08,.333,.333,0.0,10.6,5.2,0.0,0.0,0.0,14.3,14.6,54,131,-1.0,-19.3
25,25,2024-12-09,24-233,TOR,,NYK,L (-5),1,31:30,.389,.389,6.0,11.4,8.4,15.9,1.6,0.0,10.0,13.4,104,121,6.6,-2.9
26,26,2024-12-12,24-236,TOR,@,MIA,L (-10),1,30:06,.813,.813,3.2,7.2,5.1,0.0,1.6,0.0,0.0,11.5,155,116,10.9,-0.4
27,27,2024-12-16,24-240,TOR,,CHI,L (-1),1,30:46,.638,.650,3.6,7.4,5.5,0.0,0.0,2.9,0.0,14.9,130,118,11.2,-1.5
28,28,2024-12-19,24-243,TOR,,BRK,L (-7),1,35:34,.625,.625,0.0,17.3,7.8,5.8,1.5,0.0,0.0,20.7,119,110,14.8,4.0
29,29,2024-12-22,24-246,TOR,,HOU,L (-4),1,32:07,.536,.536,3.2,12.2,7.9,4.7,1.4,0.0,6.7,18.9,102,111,10.6,-2.7
30,30,2024-12-23,24-247,TOR,@,NYK,L (-14),1,20:20,.333,.333,0.0,13.9,7.3,6.3,0.0,0.0,0.0,13.1,75,137,1.1,-12.6
31,31,2024-12-26,24-250,TOR,@,MEM,L (-29),1,25:16,.421,.409,0.0,0.0,0.0,9.2,0.0,0.0,0.0,17.2,95,145,4.1,-10.8
