Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,,2024-10-23,24-131,TOR,,CLE,L (-30),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2024-10-25,24-133,TOR,,PHI,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2024-10-26,24-134,TOR,@,MIN,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,1,2024-10-28,24-136,TOR,,DEN,L (-2),1,28:40,.476,.476,3.4,14.5,8.7,17.1,0.0,0.0,8.7,31.9,99,119,8.9,-4.3
5,2,2024-10-30,24-138,TOR,@,CHO,L (-5),1,33:20,.666,.667,3.9,10.3,7.3,30.6,2.8,0.0,11.4,32.0,132,133,25.4,6.5
6,3,2024-11-01,24-140,TOR,,LAL,L (-6),1,31:48,.721,.705,3.1,15.9,8.7,58.7,0.0,0.0,14.9,32.8,134,130,28.3,14.8
7,4,2024-11-02,24-141,TOR,,SAC,W (+3),1,39:54,.503,.442,5.8,19.0,12.6,24.4,1.2,0.0,6.1,34.2,112,115,21.9,0.2
8,5,2024-11-04,24-143,TOR,@,DEN,L (-2),1,32:36,.345,.286,3.3,18.0,10.4,37.1,1.4,0.0,17.7,33.2,83,120,6.5,-9.3
9,6,2024-11-06,24-145,TOR,@,SAC,L (-15),1,32:33,.542,.500,0.0,10.8,5.5,14.9,3.1,0.0,12.4,33.5,100,126,14.1,-2.0
10,7,2024-11-09,24-148,TOR,@,LAC,L (-2),1,30:28,.409,.433,0.0,24.2,10.4,15.5,3.2,3.2,20.1,27.4,70,103,5.9,-5.4
11,8,2024-11-10,24-149,TOR,@,LAL,L (-20),1,36:25,.475,.367,0.0,24.3,12.6,17.3,0.0,0.0,17.4,27.6,95,134,8.4,-8.6
12,9,2024-11-12,24-151,TOR,@,MIL,L (-14),1,30:58,.250,.250,3.0,19.0,10.7,12.2,3.1,0.0,26.3,25.2,47,98,-1.1,-13.3
13,10,2024-11-15,24-154,TOR,,DET,L (-4),1,34:30,.501,.389,7.1,8.3,7.7,36.5,0.0,2.4,4.4,26.3,119,104,18.6,9.5
14,11,2024-11-16,24-155,TOR,@,BOS,L (-3),1,42:29,.404,.389,0.0,27.7,14.2,49.9,1.3,3.3,3.1,34.3,111,122,20.7,3.7
15,12,2024-11-18,24-157,TOR,,IND,W (+11),1,35:35,.742,.714,4.5,22.5,15.6,22.1,0.0,0.0,16.0,36.0,134,117,29.1,6.0
16,13,2024-11-21,24-160,TOR,,MIN,W (+5),1,35:02,.804,.750,3.4,19.1,11.6,17.6,4.2,0.0,17.2,30.0,136,103,27.2,12.3
17,14,2024-11-24,24-163,TOR,@,CLE,L (-14),1,32:57,.388,.389,8.1,8.7,8.4,30.9,0.0,2.6,4.6,25.6,101,125,10.7,-0.4
18,15,2024-11-25,24-164,TOR,@,DET,L (-2),1,33:53,.428,.395,0.0,12.9,4.8,9.1,1.5,0.0,13.1,27.4,89,113,5.2,-8.7
19,16,2024-11-27,24-166,TOR,@,NOP,W (+26),1,32:43,.608,.633,3.0,20.5,11.9,45.8,0.0,0.0,18.1,27.9,119,95,18.8,4.0
20,17,2024-11-29,24-168,TOR,@,MIA,L (-10),1,38:49,.633,.611,3.6,13.7,9.4,28.3,0.0,0.0,23.3,29.9,106,128,16.3,-3.9
21,18,2024-12-01,24-170,TOR,,MIA,W (+3),1,37:57,.850,.825,0.0,18.1,9.6,22.6,0.0,2.6,15.5,28.9,140,115,30.1,10.8
22,19,2024-12-03,24-172,TOR,,IND,W (+11),1,36:53,.681,.625,4.2,23.1,15.4,20.2,0.0,0.0,19.0,29.8,118,108,20.6,0.7
23,20,2024-12-05,24-174,TOR,,OKC,L (-37),1,31:03,.456,.344,0.0,32.7,16.0,12.7,0.0,2.8,5.1,25.6,96,123,11.4,-2.0
24,21,2024-12-07,24-176,TOR,,DAL,L (-7),1,27:23,.563,.563,0.0,15.6,7.7,30.2,1.7,0.0,5.9,26.2,109,125,12.7,-1.6
25,22,2024-12-09,24-178,TOR,,NYK,L (-5),1,37:07,.603,.604,5.1,19.4,11.4,19.8,1.4,0.0,10.8,31.7,119,120,20.8,5.4
26,23,2024-12-12,24-181,TOR,@,MIA,L (-10),1,33:46,.344,.306,2.8,32.3,16.6,41.9,0.0,8.4,24.1,32.0,74,108,8.0,-5.8
27,24,2024-12-16,24-185,TOR,,CHI,L (-1),1,37:22,.572,.500,3.0,12.2,7.6,37.5,1.2,4.8,17.7,35.4,107,113,23.4,4.3
