Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Trae Young,39:11,7,19,.368,2,8,.250,2,4,.500,0,1,1,13,0,0,3,1,18,12.7,-8,youngtr01
Dyson Daniels,36:42,8,14,.571,2,4,.500,4,5,.800,4,4,8,5,4,0,2,1,22,24.1,+2,daniedy01
Onyeka Okongwu,30:23,6,8,.750,0,1,.000,7,8,.875,5,7,12,4,2,1,2,3,19,23.3,-6,okongon01
Vit Krejci,24:38,5,10,.500,3,7,.429,0,0,,0,2,2,2,2,0,0,2,13,11.2,-2,krejcvi01
Jalen Johnson,10:47,1,2,.500,0,0,,1,2,.500,0,1,1,1,1,0,2,2,3,0.8,-10,johnsja05
Bogdan Bogdanović,32:26,8,12,.667,3,5,.600,4,5,.800,0,3,3,0,0,1,3,4,23,14.4,+6,bogdabo01
De'Andre Hunter,30:36,3,11,.273,2,8,.250,0,0,,0,2,2,2,0,0,2,4,8,-0.1,-1,huntede01
Dominick Barlow,17:22,4,6,.667,1,1,1.000,2,2,1.000,0,2,2,1,2,0,0,1,11,11.3,+1,barlodo01
Garrison Mathews,11:19,0,3,.000,0,3,.000,0,0,,0,3,3,1,0,0,0,2,0,-1.3,0,mathega01
David Roddy,6:36,0,2,.000,0,0,,2,4,.500,0,2,2,1,0,0,0,1,2,0.7,+3,roddyda01
Larry Nance Jr.,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,nancela02
Zaccharie Risacher,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,risacza01
Team Totals,240,42,87,.483,13,37,.351,22,30,.733,9,27,36,30,11,2,15,21,119,,,-9999
