Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,20-359,UTA,,MEM,L (-2),0,12:19,1,2,.500,0,0,,1,2,.500,2,0,2,0,2,0,0,1,3,4.6,-12
2,2,2024-10-25,20-361,UTA,,GSW,L (-41),0,17:48,3,9,.333,2,7,.286,1,1,1.000,2,1,3,0,0,0,1,0,9,4.6,-28
3,3,2024-10-28,20-364,UTA,@,DAL,L (-8),0,12:39,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,1.3,+4
4,4,2024-10-29,20-365,UTA,,SAC,L (-17),0,15:42,4,8,.500,3,5,.600,0,0,,1,2,3,1,0,0,1,1,11,7.6,+13
5,5,2024-10-31,21-001,UTA,,SAS,L (-18),0,14:31,2,3,.667,1,2,.500,0,0,,0,3,3,1,0,0,2,0,5,3.3,+8
6,6,2024-11-02,21-003,UTA,@,DEN,L (-26),0,16:03,3,6,.500,2,4,.500,2,2,1.000,0,0,0,1,1,0,3,1,10,5.3,-12
7,7,2024-11-04,21-005,UTA,@,CHI,W (+9),0,10:09,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,3,0,2,-2.4,-4
8,8,2024-11-07,21-008,UTA,@,MIL,L (-23),0,3:25,1,2,.500,0,1,.000,4,4,1.000,0,1,1,0,0,0,0,0,6,5.3,+1
9,,2024-11-09,21-010,UTA,@,SAS,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,9,2024-11-12,21-013,UTA,,PHO,L (-8),0,10:06,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,1,0,0,-0.7,0
