Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,25-293,UTA,,MEM,L (-2),1,24:59,5,8,.625,0,0,,6,8,.750,0,2,2,3,1,1,4,2,16,11.2,-3
2,2,2024-10-25,25-295,UTA,,GSW,L (-41),1,20:34,4,13,.308,0,2,.000,4,5,.800,1,1,2,1,0,0,4,1,12,1.4,-17
3,3,2024-10-28,25-298,UTA,@,DAL,L (-8),1,27:41,9,11,.818,2,3,.667,3,4,.750,0,4,4,2,1,0,2,3,23,18.9,+1
4,4,2024-10-29,25-299,UTA,,SAC,L (-17),0,17:53,0,7,.000,0,5,.000,4,4,1.000,0,2,2,1,0,0,3,1,4,-3.0,-11
5,5,2024-10-31,25-301,UTA,,SAS,L (-18),0,24:43,5,11,.455,0,0,,6,6,1.000,0,3,3,3,2,0,1,5,16,12.3,-1
6,6,2024-11-02,25-303,UTA,@,DEN,L (-26),1,25:33,2,6,.333,1,3,.333,5,5,1.000,0,1,1,4,1,0,4,2,10,5.9,-18
7,7,2024-11-04,25-305,UTA,@,CHI,W (+9),1,34:17,7,18,.389,4,7,.571,6,6,1.000,0,2,2,5,1,1,1,2,24,18.2,+7
8,8,2024-11-07,25-308,UTA,@,MIL,L (-23),1,27:14,5,12,.417,2,4,.500,2,2,1.000,0,2,2,7,0,0,3,3,14,8.9,-22
9,9,2024-11-09,25-310,UTA,@,SAS,W (+1),1,28:57,8,13,.615,1,3,.333,6,7,.857,1,3,4,2,2,0,3,4,23,17.1,+2
10,10,2024-11-12,25-313,UTA,,PHO,L (-8),1,30:40,5,14,.357,3,6,.500,2,2,1.000,3,2,5,3,1,0,1,4,15,10.4,+9
11,11,2024-11-14,25-315,UTA,,DAL,W (+2),1,31:05,7,12,.583,2,5,.400,0,0,,2,3,5,3,1,0,2,3,16,12.6,-10
12,12,2024-11-16,25-317,UTA,@,SAC,L (-4),1,28:55,5,12,.417,4,7,.571,4,6,.667,1,1,2,2,0,0,1,6,18,9.8,0
13,13,2024-11-17,25-318,UTA,@,LAC,L (-11),1,20:03,4,9,.444,3,5,.600,0,0,,1,3,4,3,0,0,3,4,11,5.4,-8
14,14,2024-11-19,25-320,UTA,@,LAL,L (-6),1,32:05,6,12,.500,2,4,.500,5,5,1.000,1,0,1,4,1,0,3,1,19,14.1,+5
15,15,2024-11-21,25-322,UTA,@,SAS,L (-8),1,24:30,6,13,.462,0,3,.000,6,7,.857,1,0,1,1,1,0,3,1,18,9.9,-11
16,16,2024-11-23,25-324,UTA,,NYK,W (+15),1,38:12,9,14,.643,6,8,.750,1,1,1.000,0,1,1,5,1,0,2,2,25,20.8,+32
17,17,2024-11-26,25-327,UTA,,SAS,L (-13),1,31:18,8,16,.500,2,5,.400,2,2,1.000,1,1,2,4,0,0,0,2,20,15.0,-15
18,18,2024-11-27,25-328,UTA,,DEN,L (-19),1,39:29,9,16,.563,2,5,.400,6,7,.857,1,0,1,4,0,0,2,1,26,19.1,-13
19,19,2024-11-30,25-331,UTA,,DAL,L (-12),1,29:41,5,13,.385,1,5,.200,2,2,1.000,0,4,4,2,0,0,2,0,13,6.5,-6
20,20,2024-12-01,25-332,UTA,,LAL,L (-1),1,29:08,7,14,.500,1,6,.167,0,0,,1,2,3,4,1,1,3,2,15,10.0,+10
21,21,2024-12-03,25-334,UTA,@,OKC,L (-27),1,28:16,7,11,.636,2,3,.667,1,1,1.000,3,0,3,4,1,0,5,0,17,13.0,-8
22,22,2024-12-06,25-337,UTA,@,POR,W (+42),1,23:19,6,14,.429,0,2,.000,4,4,1.000,0,2,2,7,0,0,0,0,16,14.1,+31
23,23,2024-12-08,25-339,UTA,@,SAC,L (-44),1,22:52,4,8,.500,3,4,.750,4,4,1.000,0,2,2,0,0,0,3,2,15,7.8,-7
24,24,2024-12-13,25-344,UTA,,PHO,L (-8),1,23:35,2,9,.222,0,3,.000,2,2,1.000,1,2,3,2,0,0,3,2,6,-0.6,-8
25,25,2024-12-16,25-347,UTA,@,LAC,L (-37),1,23:34,7,10,.700,1,2,.500,0,0,,0,0,0,2,0,0,0,2,15,11.4,-13
26,26,2024-12-19,25-350,UTA,@,DET,W (+7),1,35:36,9,15,.600,5,7,.714,7,9,.778,2,4,6,7,3,0,10,4,30,21.2,+7
27,27,2024-12-21,25-352,UTA,@,BRK,W (+11),1,32:32,8,14,.571,2,5,.400,0,0,,1,1,2,5,4,0,3,4,18,15.3,+8
28,28,2024-12-23,25-354,UTA,@,CLE,L (-11),1,36:20,10,22,.455,4,10,.400,0,0,,1,2,3,5,1,0,4,3,24,13.2,-13
29,29,2024-12-26,25-357,UTA,@,POR,L (-2),1,27:27,7,19,.368,3,7,.429,2,2,1.000,1,0,1,11,0,0,1,2,19,15.1,+1
30,30,2024-12-28,25-359,UTA,,PHI,L (-3),1,31:07,9,16,.563,2,4,.500,0,0,,3,3,6,8,1,0,2,2,20,19.2,+10
31,31,2024-12-30,25-361,UTA,,DEN,L (-11),1,28:41,9,19,.474,1,6,.167,3,3,1.000,1,1,2,4,0,0,2,2,22,13.3,-12
32,32,2025-01-01,25-363,UTA,@,NYK,L (-16),1,31:07,10,13,.769,4,5,.800,1,1,1.000,1,3,4,5,0,0,4,2,25,20.2,-5
33,33,2025-01-04,26-000,UTA,@,MIA,W (+36),1,30:37,7,19,.368,2,7,.286,1,1,1.000,2,3,5,8,1,0,2,0,17,13.4,+35
34,34,2025-01-05,26-001,UTA,@,ORL,W (+13),1,26:10,6,18,.333,3,8,.375,5,5,1.000,0,4,4,2,1,0,3,2,20,9.6,-4
35,35,2025-01-07,26-003,UTA,,ATL,L (-3),1,30:37,7,16,.438,2,3,.667,8,9,.889,2,2,4,3,0,0,1,3,24,17.1,+4
36,36,2025-01-09,26-005,UTA,,MIA,L (-5),1,28:44,9,18,.500,1,3,.333,4,4,1.000,0,1,1,5,1,0,2,0,23,16.8,+4
