Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2025-01-01,24-333,UTA,@,NYK,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2025-01-04,24-336,UTA,@,MIA,W (+36),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2025-01-05,24-337,UTA,@,ORL,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2025-01-07,24-339,UTA,,ATL,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2025-01-09,24-341,UTA,,MIA,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,1,2025-01-11,24-343,UTA,@,PHO,L (-8),0,9:21,0,1,.000,0,1,.000,0,0,,1,3,4,0,0,0,0,2,0,0.1,-3
7,2,2025-01-12,24-344,UTA,,BRK,W (+1),0,18:34,1,5,.200,1,4,.250,0,2,.000,1,2,3,1,1,0,1,5,3,-0.9,+15
8,3,2025-01-15,24-347,UTA,,CHO,L (-5),0,21:50,3,8,.375,2,6,.333,0,0,,0,1,1,2,2,0,1,1,8,5.9,+11
9,4,2025-01-17,24-349,UTA,@,NOP,L (-13),0,17:40,0,0,,0,0,,1,2,.500,0,1,1,0,2,0,0,1,1,2.5,+13
10,5,2025-01-20,24-352,UTA,@,NOP,L (-4),0,10:24,0,2,.000,0,1,.000,2,2,1.000,2,0,2,1,1,0,0,0,2,3.7,-7
11,6,2025-01-22,24-354,UTA,@,OKC,L (-9),0,18:26,2,5,.400,1,4,.250,0,0,,2,0,2,1,1,0,0,2,5,4.6,-6
12,7,2025-01-25,24-357,UTA,@,MEM,L (-22),0,22:29,4,9,.444,3,7,.429,0,0,,2,2,4,2,3,1,1,3,11,11.2,+5
13,8,2025-01-27,24-359,UTA,,MIL,L (-15),0,10:19,1,3,.333,0,2,.000,0,0,,1,0,1,0,0,0,0,3,2,-0.2,+5
14,9,2025-01-28,24-360,UTA,@,GSW,L (-11),0,6:00,0,2,.000,0,0,,0,0,,0,3,3,1,0,0,0,0,0,0.2,-7
15,,2025-01-30,24-362,UTA,,MIN,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,2025-02-01,24-364,UTA,,ORL,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,2025-02-03,25-000,UTA,,IND,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
