Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2024-10-23,27-030,UTA,,MEM,L (-2),0,18:19,5,12,.417,0,3,.000,1,1,1.000,1,4,5,0,1,1,2,5,11,4.2,-9
2,2,2024-10-25,27-032,UTA,,GSW,L (-41),0,23:42,4,10,.400,1,3,.333,5,5,1.000,2,5,7,4,1,1,3,2,14,12.2,-13
3,3,2024-10-28,27-035,UTA,@,DAL,L (-8),0,19:10,5,13,.385,3,6,.500,3,3,1.000,2,4,6,3,1,1,2,5,16,11.3,-8
4,4,2024-10-29,27-036,UTA,,SAC,L (-17),0,23:00,7,16,.438,1,4,.250,3,3,1.000,4,3,7,0,1,1,2,4,18,11.4,-18
5,5,2024-10-31,27-038,UTA,,SAS,L (-18),0,27:53,6,13,.462,0,1,.000,2,2,1.000,4,7,11,3,1,1,2,3,14,12.8,-6
6,6,2024-11-02,27-040,UTA,@,DEN,L (-26),0,21:47,5,9,.556,1,1,1.000,4,5,.800,0,5,5,5,1,1,2,4,15,13.4,-4
7,7,2024-11-04,27-042,UTA,@,CHI,W (+9),0,30:47,12,17,.706,2,4,.500,2,2,1.000,3,10,13,5,0,1,2,3,28,27.0,+11
8,8,2024-11-07,27-045,UTA,@,MIL,L (-23),0,25:26,4,7,.571,0,1,.000,3,3,1.000,0,3,3,1,0,0,4,1,11,4.9,-12
9,9,2024-11-09,27-047,UTA,@,SAS,W (+1),0,29:00,6,11,.545,1,3,.333,2,2,1.000,3,7,10,2,3,0,5,5,15,11.3,+10
10,10,2024-11-12,27-050,UTA,,PHO,L (-8),1,34:23,12,19,.632,3,6,.500,2,2,1.000,4,6,10,4,3,1,2,1,29,29.2,+1
11,11,2024-11-14,27-052,UTA,,DAL,W (+2),1,35:30,10,20,.500,1,3,.333,7,7,1.000,6,3,9,3,2,0,4,2,28,22.4,-4
