Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2024-10-23,23-220,UTA,,MEM,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2024-10-25,23-222,UTA,,GSW,L (-41),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2024-10-28,23-225,UTA,@,DAL,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,1,2024-10-29,23-226,UTA,,SAC,L (-17),0,7:18,0,2,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,1,0,-0.8,-8
5,2,2024-10-31,23-228,UTA,,SAS,L (-18),0,13:19,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,1,1,0,-2.2,-15
6,3,2024-11-02,23-230,UTA,@,DEN,L (-26),0,26:49,4,9,.444,3,7,.429,6,6,1.000,2,0,2,1,2,0,2,3,17,13.2,-2
7,4,2024-11-04,23-232,UTA,@,CHI,W (+9),0,18:12,3,6,.500,2,5,.400,0,0,,0,1,1,2,0,0,0,2,8,5.9,+1
8,5,2024-11-07,23-235,UTA,@,MIL,L (-23),0,16:24,4,6,.667,3,4,.750,1,1,1.000,0,1,1,1,1,1,0,3,12,10.9,-4
9,6,2024-11-09,23-237,UTA,@,SAS,W (+1),0,22:09,3,4,.750,1,2,.500,3,3,1.000,0,4,4,0,0,1,0,2,10,9.5,+11
10,7,2024-11-12,23-240,UTA,,PHO,L (-8),0,13:20,0,2,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,2,0,-0.5,-12
