Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-24,32-007,WAS,,BOS,L (-20),0,3:11,.500,.500,0.0,0.0,0.0,58.2,14.7,0.0,33.3,38.4,76,95,1.7,8.0
2,,2024-10-26,32-009,WAS,,CLE,L (-19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,,2024-10-28,32-011,WAS,@,ATL,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,2,2024-10-30,32-013,WAS,,ATL,W (+13),0,0:02,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,0.0,-8.6
5,3,2024-11-02,32-016,WAS,,MIA,L (-20),0,3:16,.000,.000,0.0,0.0,0.0,38.7,0.0,0.0,0.0,13.1,45,128,-0.4,-16.2
6,4,2024-11-04,32-018,WAS,,GSW,L (-13),0,2:54,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,131,0.0,-11.2
7,5,2024-11-08,32-022,WAS,@,MEM,L (-24),0,4:32,1.250,1.250,0.0,24.6,11.6,0.0,9.8,0.0,0.0,17.5,250,101,5.7,33.7
8,6,2024-11-10,32-024,WAS,@,ORL,L (-27),0,4:49,.568,,27.7,44.3,36.9,30.2,0.0,0.0,0.0,8.8,167,120,2.6,7.6
9,7,2024-11-11,32-025,WAS,@,HOU,L (-15),0,1:49,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119,0.0,-9.9
10,,2024-11-13,32-027,WAS,@,SAS,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,,2024-11-15,32-029,WAS,@,ATL,L (-12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,8,2024-11-17,32-031,WAS,,DET,L (-20),0,3:38,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,133,0.0,-9.0
13,9,2024-11-18,32-032,WAS,@,NYK,L (-28),0,14:57,.654,.750,0.0,26.8,11.7,0.0,0.0,0.0,0.0,20.4,123,143,6.1,-2.5
14,10,2024-11-22,32-036,WAS,,BOS,L (-12),0,0:00,,,,,,,,,,,,,0.0,-5.7
15,11,2024-11-24,32-038,WAS,@,IND,L (-12),0,6:08,1.025,1.250,0.0,0.0,0.0,0.0,8.1,0.0,0.0,17.8,163,110,5.0,20.7
16,12,2024-11-26,32-040,WAS,,CHI,L (-19),0,7:57,.532,.500,12.8,26.3,19.5,0.0,0.0,0.0,0.0,19.1,119,120,3.5,-4.0
17,13,2024-11-27,32-041,WAS,,LAC,L (-25),0,15:29,.532,.000,6.9,7.4,7.1,17.7,0.0,5.5,0.0,10.2,144,124,5.7,2.2
18,14,2024-11-30,32-044,WAS,@,MIL,L (-10),0,2:44,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,0.0,-8.4
19,15,2024-12-03,32-047,WAS,@,CLE,L (-31),0,18:24,.581,.667,0.0,11.3,5.4,0.0,0.0,0.0,0.0,7.8,112,122,2.5,-5.1
20,16,2024-12-05,32-049,WAS,,DAL,L (-36),0,7:54,1.500,1.500,0.0,0.0,0.0,0.0,5.9,0.0,0.0,5.2,300,129,3.7,8.2
21,17,2024-12-07,32-051,WAS,,DEN,W (+9),0,10:37,.644,.667,9.6,28.9,19.2,0.0,0.0,0.0,20.5,18.4,105,110,3.1,-9.0
22,18,2024-12-08,32-052,WAS,,MEM,L (-28),0,22:26,.205,.000,4.0,14.6,8.7,5.0,2.0,0.0,29.1,11.3,50,128,-1.1,-13.3
23,19,2024-12-13,32-057,WAS,@,CLE,L (-10),0,7:01,.000,.000,0.0,12.7,7.3,0.0,0.0,0.0,33.3,18.9,0,118,-2.9,-29.4
24,20,2024-12-15,32-059,WAS,,BOS,L (-14),0,11:04,.500,.500,0.0,17.3,8.1,0.0,0.0,0.0,0.0,14.6,106,115,2.2,-6.2
25,,2024-12-19,32-063,WAS,,CHO,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
26,,2024-12-21,32-065,WAS,@,MIL,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
27,,2024-12-23,32-067,WAS,@,OKC,L (-18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
28,,2024-12-26,32-070,WAS,,CHO,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
29,,2024-12-28,32-072,WAS,,NYK,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
30,21,2024-12-30,32-074,WAS,,NYK,L (-20),0,1:48,1.000,1.000,52.3,54.4,53.3,0.0,0.0,0.0,0.0,23.3,209,116,2.7,28.6
31,22,2025-01-01,32-076,WAS,,CHI,W (+18),0,1:40,.750,.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,127,108,2.0,21.6
32,23,2025-01-03,32-078,WAS,@,NOP,L (-12),0,1:07,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,140,0.0,-8.6
33,24,2025-01-05,32-080,WAS,,NOP,L (-12),0,7:16,,,0.0,0.0,0.0,0.0,6.7,0.0,100.0,5.9,0,105,-0.4,-11.8
34,25,2025-01-07,32-082,WAS,,HOU,L (-23),0,4:17,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0,149,-0.7,-19.8
35,,2025-01-08,32-083,WAS,@,PHI,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,26,2025-01-10,32-085,WAS,@,CHI,L (-33),0,3:33,,,0.0,0.0,0.0,34.7,0.0,0.0,,0.0,246,138,0.3,-6.9
37,27,2025-01-12,32-087,WAS,,OKC,L (-41),0,5:16,.725,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,162,139,2.9,0.2
38,28,2025-01-13,32-088,WAS,,MIN,L (-14),0,1:22,.266,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.8,60,133,-0.1,-35.2
39,,2025-01-16,32-091,WAS,,PHO,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,,2025-01-18,32-093,WAS,@,GSW,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
41,29,2025-01-19,32-094,WAS,@,SAC,L (-23),0,3:23,1.000,1.000,0.0,30.8,14.6,0.0,0.0,0.0,0.0,11.8,200,116,2.0,6.8
42,30,2025-01-21,32-096,WAS,@,LAL,L (-23),0,1:36,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,118,-0.4,-23.6
43,31,2025-01-23,32-098,WAS,@,LAC,L (-17),0,1:41,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,0.0,-11.2
44,,2025-01-25,32-100,WAS,@,PHO,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
45,32,2025-01-27,32-102,WAS,@,DAL,L (-22),0,6:05,.532,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,87,138,0.5,-12.0
46,33,2025-01-29,32-104,WAS,,TOR,L (-24),0,6:15,1.136,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,250,114,1.6,-1.7
47,34,2025-01-30,32-105,WAS,,LAL,L (-38),0,6:08,,,0.0,22.4,9.1,0.0,0.0,0.0,,0.0,0,136,0.3,-10.8
48,35,2025-02-01,32-107,WAS,@,MIN,W (+2),0,0:07,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112,0.0,-7.9
49,,2025-02-03,32-109,WAS,@,CHO,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,36,2025-02-05,32-111,WAS,@,BRK,W (+17),0,2:02,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,123,0.0,-9.7
51,37,2025-02-07,32-113,WAS,,CLE,L (-10),0,5:51,.500,.500,0.0,0.0,0.0,0.0,0.0,14.7,0.0,13.7,109,136,1.7,-1.9
52,,2025-02-08,32-114,WAS,,ATL,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2025-02-10,32-116,WAS,,SAS,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,2025-02-12,32-118,WAS,,IND,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,2025-02-21,32-127,WAS,,MIL,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
56,38,2025-02-23,32-129,WAS,@,ORL,L (-20),0,7:13,1.500,1.500,0.0,28.9,16.0,0.0,0.0,0.0,0.0,6.2,300,108,3.3,9.5
57,,2025-02-24,32-130,WAS,,BRK,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
58,,2025-02-26,32-132,WAS,,POR,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
59,,2025-03-01,32-135,WAS,@,CHO,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
60,39,2025-03-03,32-137,WAS,@,MIA,L (-16),0,2:23,1.136,,0.0,49.1,22.1,0.0,0.0,0.0,0.0,16.6,250,110,2.3,16.1
61,,2025-03-05,32-139,WAS,,UTA,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
62,,2025-03-08,32-142,WAS,@,TOR,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
