Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-24,20-090,WAS,,BOS,L (-20),1,29:50,.725,.500,3.4,19.2,10.8,24.5,1.6,0.0,35.2,11.6,117,121,10.6,-1.1
2,2,2024-10-26,20-092,WAS,,CLE,L (-19),1,35:10,.700,.688,7.4,10.5,8.7,5.5,0.0,0.0,15.4,21.2,119,134,15.3,-0.5
3,3,2024-10-28,20-094,WAS,@,ATL,W (+2),1,36:49,.564,.458,0.0,6.5,3.2,11.3,2.5,0.0,11.7,18.8,112,113,11.3,-4.0
4,4,2024-10-30,20-096,WAS,,ATL,W (+13),1,34:32,.907,.893,15.9,16.2,16.0,4.4,3.9,2.5,11.8,20.2,156,108,26.7,9.2
5,5,2024-11-02,20-099,WAS,,MIA,L (-20),1,33:28,.751,.750,8.3,12.6,10.5,10.8,0.0,0.0,0.0,18.7,154,122,19.4,2.9
6,6,2024-11-04,20-101,WAS,,GSW,L (-13),1,39:13,.379,.318,0.0,8.9,4.8,6.4,0.0,0.0,20.2,15.8,66,127,1.3,-14.9
7,7,2024-11-08,20-105,WAS,@,MEM,L (-24),1,31:20,.506,.444,3.2,7.1,5.1,14.4,2.8,5.7,28.8,17.6,81,119,6.5,-6.1
8,8,2024-11-10,20-107,WAS,@,ORL,L (-27),1,36:53,.874,.864,10.8,8.7,9.6,36.7,1.4,9.1,20.8,18.8,146,128,22.0,10.4
9,9,2024-11-11,20-108,WAS,@,HOU,L (-15),1,35:29,.557,.556,5.5,6.3,5.9,0.0,1.3,2.1,16.8,14.3,94,112,8.0,-5.1
10,10,2024-11-13,20-110,WAS,@,SAS,L (-9),1,37:56,.444,.400,3.0,23.3,12.7,8.2,0.0,2.6,0.0,7.1,123,134,7.7,-6.0
11,11,2024-11-15,20-112,WAS,@,ATL,L (-12),1,38:16,.379,.364,9.5,11.6,10.6,13.2,2.2,0.0,14.4,13.3,92,116,8.0,-7.5
12,12,2024-11-17,20-114,WAS,,DET,L (-20),1,26:05,.727,.722,4.3,11.7,8.2,0.0,5.5,0.0,16.2,20.8,116,116,12.5,2.5
13,,2024-11-18,20-115,WAS,@,NYK,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,13,2024-11-22,20-119,WAS,,BOS,L (-12),1,40:01,.304,.278,0.0,17.5,9.2,9.8,2.4,3.1,16.8,12.2,65,103,3.0,-4.5
15,14,2024-11-24,20-121,WAS,@,IND,L (-12),1,38:17,.679,.556,6.1,11.1,8.7,16.2,1.3,4.3,7.4,15.8,142,119,17.9,3.8
16,15,2024-11-26,20-123,WAS,,CHI,L (-19),1,36:52,.325,.273,2.8,5.7,4.2,18.6,1.2,0.0,7.5,14.6,80,121,5.5,-9.2
