Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,,2024-10-24,22-149,SAC,,MIN,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,,2024-10-26,22-151,SAC,@,LAL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,1,2024-10-28,22-153,SAC,,POR,W (+13),0,2:49,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,110,0.0,-5.7
4,2,2024-10-29,22-154,SAC,@,UTA,W (+17),0,3:36,,,0.0,0.0,0.0,0.0,0.0,32.5,100.0,12.1,0,94,-0.3,-7.1
5,3,2024-11-01,22-157,SAC,@,ATL,W (+8),0,0:11,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,110,-0.4,-99.4
6,,2024-11-02,22-158,SAC,@,TOR,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,,2024-11-04,22-160,SAC,@,MIA,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,4,2024-11-06,22-162,SAC,,TOR,W (+15),0,1:08,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,0.0,-7.9
9,,2024-11-08,22-164,SAC,,LAC,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,,2024-11-10,22-166,SAC,@,PHO,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,5,2024-11-11,22-167,SAC,@,SAS,L (-20),0,1:23,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32.7,0,132,-1.0,-44.7
12,6,2024-11-13,22-169,SAC,,PHO,W (+23),0,2:54,1.250,1.250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,250,121,4.0,26.7
13,,2024-11-15,22-171,SAC,,MIN,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
