Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-24,20-317,WAS,,BOS,L (-20),0,20:17,.333,.333,0.0,16.9,8.0,13.1,2.3,0.0,0.0,12.0,83,119,2.7,-8.5
2,2,2024-10-26,20-319,WAS,,CLE,L (-19),0,26:33,.114,.000,6.6,9.3,7.7,19.5,0.0,14.8,18.6,15.6,54,126,-0.1,-10.7
3,3,2024-10-28,20-321,WAS,@,ATL,W (+2),0,21:32,.500,.500,0.0,11.1,5.4,5.7,0.0,5.4,25.0,7.5,85,114,0.3,-8.3
4,4,2024-10-30,20-323,WAS,,ATL,W (+13),1,31:33,.550,.550,0.0,7.1,3.9,15.4,4.3,0.0,0.0,13.1,124,111,10.8,-1.0
5,5,2024-11-02,20-326,WAS,,MIA,L (-20),1,26:42,.304,.222,3.5,22.1,13.2,5.2,1.8,8.3,16.8,19.0,60,108,3.9,-9.9
6,6,2024-11-04,20-328,WAS,,GSW,L (-13),1,37:51,.526,.526,2.6,11.5,7.4,15.3,1.2,0.0,5.0,22.0,104,123,12.5,-2.1
7,7,2024-11-08,20-332,WAS,@,MEM,L (-24),0,34:20,.660,.625,0.0,19.5,9.2,14.2,1.3,5.2,7.2,16.0,125,119,15.1,3.1
8,8,2024-11-10,20-334,WAS,@,ORL,L (-27),1,34:28,.759,.778,0.0,21.7,12.0,5.3,1.5,0.0,16.8,16.5,116,126,9.7,-2.3
9,9,2024-11-11,20-335,WAS,@,HOU,L (-15),0,24:36,.444,.444,0.0,9.1,4.2,19.4,0.0,0.0,0.0,15.6,101,115,4.8,-3.6
10,10,2024-11-13,20-337,WAS,@,SAS,L (-9),0,32:17,.551,.500,7.1,3.9,5.6,17.3,2.8,0.0,0.0,13.5,144,132,12.6,0.6
11,11,2024-11-15,20-339,WAS,@,ATL,L (-12),0,20:17,.472,.375,4.5,17.5,11.1,28.2,0.0,0.0,6.8,26.6,108,119,9.5,-1.9
12,12,2024-11-17,20-341,WAS,,DET,L (-20),0,25:40,.000,.000,0.0,11.9,6.2,28.8,0.0,3.2,0.0,5.2,88,126,2.5,-4.1
13,13,2024-11-18,20-342,WAS,@,NYK,L (-28),0,25:33,.105,.000,4.1,10.4,6.9,4.4,2.0,3.7,17.4,10.0,41,138,0.0,-13.0
14,14,2024-11-22,20-346,WAS,,BOS,L (-12),0,19:03,.375,.375,0.0,15.7,8.3,0.0,2.5,0.0,33.3,12.9,50,105,-1.1,-9.9
15,15,2024-11-24,20-348,WAS,@,IND,L (-12),1,28:55,.705,.625,4.0,14.8,9.7,28.3,0.0,0.0,15.8,19.6,132,124,12.4,0.7
16,16,2024-11-26,20-350,WAS,,CHI,L (-19),1,30:40,.318,.318,0.0,13.6,6.7,4.6,0.0,0.0,0.0,14.5,66,123,2.0,-12.4
17,17,2024-11-27,20-351,WAS,,LAC,L (-25),0,26:18,.167,.167,8.1,8.7,8.4,5.5,0.0,0.0,14.3,11.1,54,127,-1.3,-14.9
18,18,2024-11-30,20-354,WAS,@,MIL,L (-10),0,19:23,.333,.333,6.3,6.2,6.3,13.7,2.5,0.0,33.3,20.3,62,125,-0.2,-14.5
19,19,2024-12-03,20-357,WAS,@,CLE,L (-31),0,11:21,.000,.000,8.3,46.0,26.2,26.4,0.0,9.8,0.0,7.4,63,109,2.5,0.7
20,,2024-12-05,20-359,WAS,,DAL,L (-36),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
21,,2024-12-07,20-361,WAS,,DEN,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
22,,2024-12-08,20-362,WAS,,MEM,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2024-12-13,21-001,WAS,@,CLE,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2024-12-15,21-003,WAS,,BOS,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,20,2024-12-19,21-007,WAS,,CHO,W (+9),0,16:38,.307,.250,6.9,9.3,8.3,7.6,0.0,4.6,29.1,17.3,64,116,0.1,-15.9
26,21,2024-12-21,21-009,WAS,@,MIL,L (-11),0,22:49,.500,.500,5.0,12.9,9.2,7.1,2.1,4.2,12.5,15.7,98,110,5.1,-4.7
27,22,2024-12-23,21-011,WAS,@,OKC,L (-18),0,27:31,.799,.750,3.3,6.1,4.8,5.7,3.3,2.6,30.4,14.5,106,116,9.3,2.9
28,23,2024-12-26,21-014,WAS,,CHO,W (+3),0,23:32,.000,.000,4.3,13.3,8.8,10.5,2.0,0.0,0.0,8.9,40,108,-0.3,-11.5
29,24,2024-12-28,21-016,WAS,,NYK,L (-4),0,34:10,.591,.591,3.5,7.2,5.3,10.8,0.0,2.7,0.0,13.9,134,127,10.2,-1.9
30,25,2024-12-30,21-018,WAS,,NYK,L (-20),0,25:02,.291,.250,0.0,19.6,9.6,0.0,0.0,3.6,22.5,14.8,47,127,-0.8,-15.6
31,26,2025-01-01,21-020,WAS,,CHI,W (+18),0,20:25,.450,.450,0.0,22.4,10.9,0.0,2.2,0.0,0.0,19.4,87,98,5.4,-8.2
32,27,2025-01-03,21-022,WAS,@,NOP,L (-12),0,17:28,.833,.833,14.5,17.5,16.2,7.0,2.8,0.0,50.0,14.1,90,128,2.7,-7.6
33,28,2025-01-05,21-024,WAS,,NOP,L (-12),0,26:58,.067,.000,3.8,7.4,5.6,4.7,1.8,0.0,21.2,15.1,25,115,-4.9,-21.2
34,29,2025-01-07,21-026,WAS,,HOU,L (-23),1,27:16,.450,.450,11.5,3.8,7.7,15.6,3.7,3.0,16.7,18.2,103,137,7.6,-3.1
35,30,2025-01-08,21-027,WAS,@,PHI,L (-6),1,27:49,.250,.250,3.9,12.0,7.9,8.6,1.9,3.9,14.3,10.4,77,116,2.5,-7.2
36,31,2025-01-10,21-029,WAS,@,CHI,L (-33),0,25:32,.545,.545,6.6,8.7,7.5,11.9,0.0,4.1,15.4,20.4,100,135,7.2,-4.3
37,32,2025-01-12,21-031,WAS,,OKC,L (-41),0,20:08,.469,.000,4.9,5.2,5.0,17.0,4.6,0.0,0.0,17.6,117,126,7.3,-0.7
38,33,2025-01-13,21-032,WAS,,MIN,L (-14),0,17:31,.714,.714,0.0,6.9,3.1,28.3,5.6,0.0,0.0,17.7,148,117,10.3,9.9
