Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,,2024-10-24,31-318,WAS,,BOS,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2024-10-26,31-320,WAS,,CLE,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2024-10-28,31-322,WAS,@,ATL,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2024-10-30,31-324,WAS,,ATL,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2024-11-02,31-327,WAS,,MIA,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2024-11-04,31-329,WAS,,GSW,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2024-11-08,31-333,WAS,@,MEM,L (-24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2024-11-10,31-335,WAS,@,ORL,L (-27),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2024-11-11,31-336,WAS,@,HOU,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2024-11-13,31-338,WAS,@,SAS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2024-11-15,31-340,WAS,@,ATL,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,1,2024-11-17,31-342,WAS,,DET,L (-20),0,21:48,.102,.000,0.0,9.4,4.9,0.0,0.0,0.0,17.0,11.9,18,130,-2.6,-19.6
13,2,2024-11-18,31-343,WAS,@,NYK,L (-28),1,19:08,.643,.600,5.5,0.0,3.1,7.1,0.0,0.0,15.5,15.0,119,147,4.7,-9.3
14,3,2024-11-22,31-347,WAS,,BOS,L (-12),1,26:23,.610,.577,12.7,26.5,20.0,6.9,1.8,0.0,11.9,26.1,115,104,14.0,6.0
15,4,2024-11-24,31-349,WAS,@,IND,L (-12),1,25:06,.508,.423,0.0,4.2,2.2,36.2,2.0,0.0,6.3,28.2,111,123,10.9,-2.0
16,5,2024-11-26,31-351,WAS,,CHI,L (-19),1,23:09,.705,.625,4.4,22.5,13.4,29.0,0.0,0.0,15.8,22.1,127,121,12.4,-1.5
17,6,2024-11-27,31-352,WAS,,LAC,L (-25),1,22:01,.773,.773,4.8,0.0,2.5,74.5,4.3,3.9,21.4,26.6,127,117,16.3,15.2
18,7,2024-11-30,31-355,WAS,@,MIL,L (-10),1,30:06,.802,.733,0.0,43.9,22.2,19.1,0.0,3.1,5.2,27.8,155,122,25.6,10.9
19,8,2024-12-03,31-358,WAS,@,CLE,L (-31),1,21:32,.304,.222,8.7,0.0,4.6,8.1,0.0,0.0,9.2,21.1,73,123,0.8,-11.7
20,9,2024-12-05,31-360,WAS,,DAL,L (-36),1,25:03,.512,.462,3.4,19.2,9.9,13.0,0.0,3.8,11.3,28.7,98,136,10.1,-2.0
21,,2024-12-07,31-362,WAS,,DEN,W (+9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
22,,2024-12-08,31-363,WAS,,MEM,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2024-12-13,32-002,WAS,@,CLE,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2024-12-15,32-004,WAS,,BOS,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,10,2024-12-19,32-008,WAS,,CHO,W (+9),0,26:58,.799,.731,4.2,0.0,1.7,39.9,1.8,0.0,11.3,27.4,153,120,22.6,10.6
26,11,2024-12-21,32-010,WAS,@,MIL,L (-11),1,23:57,.230,.200,4.8,16.4,11.0,18.8,0.0,4.0,21.6,26.0,57,114,-0.7,-18.8
27,12,2024-12-23,32-012,WAS,@,OKC,L (-18),1,26:04,.482,.458,3.5,16.2,10.0,34.4,0.0,0.0,7.4,20.8,110,120,10.3,-0.8
28,13,2024-12-26,32-015,WAS,,CHO,W (+3),0,29:58,.373,.308,0.0,10.4,5.2,29.5,3.1,0.0,6.3,22.1,90,106,9.2,-4.1
29,14,2024-12-28,32-017,WAS,,NYK,L (-4),1,30:10,.594,.500,4.0,8.2,6.1,30.4,1.6,0.0,21.3,33.7,111,125,14.9,-2.3
30,15,2024-12-30,32-019,WAS,,NYK,L (-20),1,28:43,.639,.500,6.6,13.6,10.0,38.2,3.4,0.0,12.4,23.4,133,124,19.4,8.3
31,16,2025-01-01,32-021,WAS,,CHI,W (+18),0,27:48,.466,.417,3.9,12.3,8.0,25.7,0.0,3.8,7.2,19.8,110,103,10.7,-4.4
32,17,2025-01-03,32-023,WAS,@,NOP,L (-12),0,24:46,.592,.400,5.1,8.2,6.8,15.6,0.0,0.0,6.9,24.1,137,138,13.0,-3.1
