Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
1,1,2024-10-23,30-231,MEM,@,UTA,W (+2),1,26:02,.431,.318,11.5,8.8,10.2,4.9,1.8,0.0,13.6,23.0,96,121,5.3,-9.8
2,2,2024-10-25,30-233,MEM,@,HOU,L (-20),1,20:11,.565,.375,0.0,4.6,2.2,13.4,2.2,0.0,24.4,15.5,98,122,3.7,-5.6
3,3,2024-10-26,30-234,MEM,,ORL,W (+13),1,21:21,.563,.563,0.0,0.0,0.0,18.2,4.3,5.8,20.0,19.6,95,104,7.4,1.6
4,4,2024-10-28,30-236,MEM,,CHI,L (-3),1,25:01,.042,.000,6.7,7.2,7.0,26.3,3.7,8.2,7.8,19.5,55,113,1.0,-10.7
5,5,2024-10-30,30-238,MEM,,BRK,L (-13),1,6:17,,,0.0,22.5,10.6,20.1,0.0,0.0,,0.0,221,124,1.0,-2.4
6,,2024-10-31,30-239,MEM,,MIL,W (+23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2024-11-02,30-241,MEM,@,PHI,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2024-11-04,30-243,MEM,@,BRK,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,,2024-11-06,30-245,MEM,,LAL,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,,2024-11-08,30-247,MEM,,WAS,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,,2024-11-10,30-249,MEM,@,POR,W (+45),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
