Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Dyson Daniels,35:18,4,13,.308,0,0,,3,4,.750,4,5,9,4,1,3,0,1,11,12.9,+3,daniedy01
Trae Young,34:58,13,26,.500,5,14,.357,4,4,1.000,1,1,2,14,0,0,6,3,35,25.6,+36,youngtr01
Onyeka Okongwu,26:18,2,6,.333,0,2,.000,2,2,1.000,0,5,5,3,1,1,2,4,6,4.3,+15,okongon01
Georges Niang,26:11,6,10,.600,4,7,.571,0,0,,2,4,6,3,3,0,1,0,16,18.1,+18,niangge01
Zaccharie Risacher,23:54,8,12,.667,2,3,.667,0,0,,0,1,1,1,0,0,0,1,18,13.4,+1,risacza01
Vit Krejci,31:50,4,8,.500,4,8,.500,0,0,,0,8,8,7,1,2,0,1,12,17.3,+12,krejcvi01
Terance Mann,24:37,2,5,.400,0,0,,0,2,.000,0,1,1,3,0,0,0,3,4,1.7,-7,mannte01
Larry Nance Jr.,21:42,6,11,.545,2,6,.333,0,1,.000,1,5,6,1,0,1,1,1,14,10.5,-1,nancela02
Caris LeVert,15:12,2,6,.333,1,4,.250,4,4,1.000,0,3,3,0,0,0,1,5,9,3.5,-7,leverca01
Dominick Barlow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,barlodo01
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,240,47,97,.485,18,44,.409,13,17,.765,8,33,41,36,6,7,12,19,125,,,-9999
