Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,-9999
Dyson Daniels,9:11,3,6,.500,0,0,,1,2,.500,2,2,4,0,0,0,0,1,7,5.2,-6,daniedy01
Trae Young,7:55,2,6,.333,2,5,.400,0,0,,1,0,1,4,0,0,2,0,6,4.1,+4,youngtr01
Onyeka Okongwu,6:13,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,1,0,-1.8,-2,okongon01
Georges Niang,6:39,0,3,.000,0,3,.000,0,0,,1,3,4,1,1,0,0,0,0,1.2,-2,niangge01
Zaccharie Risacher,6:13,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,0,4,2.7,-2,risacza01
Vit Krejci,5:21,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,3.7,-2,krejcvi01
Terance Mann,5:47,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-2,mannte01
Larry Nance Jr.,5:47,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,1.6,-2,nancela02
Caris LeVert,6:54,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,3,3,0.1,-6,leverca01
Dominick Barlow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,barlodo01
Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,mathega01
Keaton Wallace,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,wallake01
Team Totals,60,10,29,.345,5,14,.357,1,2,.500,4,8,12,6,1,1,3,6,26,,,-9999
